,Name,MC_USD_Billion,MC_INR_Billion,MC_EUR_Billion,MC_GBP_Billion
0,JPMorgan Chase,419.25,34776.79,389.9,335.4
1,Bank of America,231.52,19204.58,215.31,185.22
2,Industrial and Commercial Bank of China,194.56,16138.75,180.94,155.65
3,Agricultural Bank of China,160.68,13328.41,149.43,128.54
4,HDFC Bank,157.91,13098.63,146.86,126.33
5,Wells Fargo,155.87,12929.42,144.96,124.7
6,HSBC Holdings PLC,148.9,12351.26,138.48,119.12
7,Morgan Stanley,140.83,11681.85,130.97,112.66
8,China Construction Bank,139.82,11598.07,130.03,111.86
9,Bank of China,136.81,11348.39,127.23,109.45
